Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2018;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,981,928;4437185;;kg;4437185;kg;4437185
2018;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$812,928;304310;;kg;304310;kg;304310
2018;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$154,000;80000;;kg;80000;kg;80000
2018;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,400,746;333013;;kg;333013;kg;333013
2018;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$5,694,792;2965125;;kg;2965125;kg;2965125
2018;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$269,992;100020;;kg;100020;kg;100020
2018;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$5,060;4440;;kg;4440;kg;4440
2018;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$3,090,581;1153724;;kg;1153724;kg;1153724
2018;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$275,471;156400;;kg;156400;kg;156400
2018;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$486,813;193725;;kg;193725;kg;193725
2019;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$2,820,572;1764311;;kg;1764311;kg;1764311
2019;M;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$1,531;33;;kg;33;kg;33
2019;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$515,572;77939;;kg;77939;kg;77939
2019;M;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$2,001;500;;kg;500;kg;500
2019;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$869,174;864950;;kg;864950;kg;864950
2019;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$177,176;320000;;kg;320000;kg;320000
2019;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$81,462;3162;;kg;3162;kg;3162
2019;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$325,185;187292;;kg;187292;kg;187292
2019;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$222;2;;kg;2;kg;2
2019;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$25,770;20120;;kg;20120;kg;20120
2019;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$284,810;105040;;kg;105040;kg;105040
2019;M;Chile;Sweden;World;TOTAL CPC;TOTAL MOT;121229;$84;0;;kg;0;kg;0
2019;M;Chile;United Kingdom;World;TOTAL CPC;TOTAL MOT;121229;$725;5;;kg;5;kg;5
2019;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$536,856;185266;;kg;185266;kg;185266
2019;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$80,592,792;59318518;;kg;59318518;kg;59318518
2019;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$3,110,034;1355259;;kg;1355259;kg;1355259
2019;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$56,508,218;46170954;;kg;46170954;kg;46170954
2019;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$1,618,886;950403;;kg;950403;kg;950403
2019;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$5,372,116;2895859;;kg;2895859;kg;2895859
2019;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$22,804;11000;;kg;11000;kg;11000
2019;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,088,895;4236569;;kg;4236569;kg;4236569
2019;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$606,737;333849;;kg;333849;kg;333849
2019;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$111,000;60000;;kg;60000;kg;60000
2019;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,008,423;245904;;kg;245904;kg;245904
2019;X;Chile;New Zealand;World;TOTAL CPC;TOTAL MOT;121229;$10,115;17000;;kg;17000;kg;17000
2019;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$2,586,589;1604936;;kg;1604936;kg;1604936
2019;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$391,602;149790;;kg;149790;kg;149790
2019;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$37,286;25300;;kg;25300;kg;25300
2019;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$2,263,183;866563;;kg;866563;kg;866563
2019;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$190,098;130000;;kg;130000;kg;130000
2019;X;Chile;Tunisia;World;TOTAL CPC;TOTAL MOT;121229;$3,320;332;;kg;332;kg;332
2019;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$663,482;264800;;kg;264800;kg;264800
2020;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$3,325,071;1519006;;kg;1519006;kg;1519006
2020;M;Chile;Argentina;World;TOTAL CPC;TOTAL MOT;121229;$36,452;14581;;kg;14581;kg;14581
2020;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$1,942,196;274548;;kg;274548;kg;274548
2020;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$521,457;800000;;kg;800000;kg;800000
2020;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$46,780;88000;;kg;88000;kg;88000
2020;M;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$3,194;678;;kg;678;kg;678
2020;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$431;79;;kg;79;kg;79
2020;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$326,131;200000;;kg;200000;kg;200000
2020;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$821;111;;kg;111;kg;111
2020;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$5,715;240;;kg;240;kg;240
2020;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$182,373;85840;;kg;85840;kg;85840
2020;M;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$1,760;650;;kg;650;kg;650
2020;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$257,692;54271;;kg;54271;kg;54271
2020;M;Chile;Venezuela;World;TOTAL CPC;TOTAL MOT;121229;$63;5;;kg;5;kg;5
2020;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$84,206,951;68076504;;kg;68076504;kg;68076504
2020;X;Chile;Brazil;World;TOTAL CPC;TOTAL MOT;121229;$39,431;4534;;kg;4534;kg;4534
2020;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$2,522,495;1328369;;kg;1328369;kg;1328369
2020;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$60,550,646;53709132;;kg;53709132;kg;53709132
2020;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$2,122,019;1247776;;kg;1247776;kg;1247776
2020;X;Chile;Ethiopia;World;TOTAL CPC;TOTAL MOT;121229;$89,400;50000;;kg;50000;kg;50000
2020;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$5,073,947;3465238;;kg;3465238;kg;3465238
2020;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$19,246;27000;;kg;27000;kg;27000
2020;X;Chile;China, Hong Kong SAR;World;TOTAL CPC;TOTAL MOT;121229;$67,788;21867;;kg;21867;kg;21867
2020;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$4,516,219;3551802;;kg;3551802;kg;3551802
2020;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$1,393,236;844917;;kg;844917;kg;844917
2020;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$83,250;45000;;kg;45000;kg;45000
2020;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$961,981;264757;;kg;264757;kg;264757
2020;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$3,504,030;2075230;;kg;2075230;kg;2075230
2020;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$120,672;50310;;kg;50310;kg;50310
2020;X;Chile;India;World;TOTAL CPC;TOTAL MOT;121229;$80;35;;kg;35;kg;35
2020;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$8,582;2010;;kg;2010;kg;2010
2020;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$1,983,227;779970;;kg;779970;kg;779970
2020;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$233,733;156000;;kg;156000;kg;156000
2020;X;Chile;United Arab Emirates;World;TOTAL CPC;TOTAL MOT;121229;$143,811;63916;;kg;63916;kg;63916
2020;X;Chile;Tunisia;World;TOTAL CPC;TOTAL MOT;121229;$3,000;300;;kg;300;kg;300
2020;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$770,152;388341;;kg;388341;kg;388341
2021;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$4,622,876;2645681;;kg;2645681;kg;2645681
2021;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$2,042,497;458782;;kg;458782;kg;458782
2021;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$1,601,321;1656600;;kg;1656600;kg;1656600
2021;M;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$4,522;308;;kg;308;kg;308
2021;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$2,446;115;;kg;115;kg;115
2021;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$438,982;266580;;kg;266580;kg;266580
2021;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$2,964;666;;kg;666;kg;666
2021;M;Chile;Morocco;World;TOTAL CPC;TOTAL MOT;121229;$57,268;23280;;kg;23280;kg;23280
2021;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$8,718;2772;;kg;2772;kg;2772
2021;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$29,062;10721;;kg;10721;kg;10721
2021;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$204,686;94735;;kg;94735;kg;94735
2021;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$120,406;31120;;kg;31120;kg;31120
2021;M;Chile;Venezuela;World;TOTAL CPC;TOTAL MOT;121229;$110,000;100000;;kg;100000;kg;100000
2021;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$102,523,332;66286568;;kg;66286568;kg;66286568
2021;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$2,454,152;1137057;;kg;1137057;kg;1137057
2021;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$77,967,692;54082973;;kg;54082973;kg;54082973
2021;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$2,930,471;1561377;;kg;1561377;kg;1561377
2021;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$3,627,636;1869957;;kg;1869957;kg;1869957
2021;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$41,719;16000;;kg;16000;kg;16000
2021;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$3,813,149;2718040;;kg;2718040;kg;2718040
2021;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$980,958;526645;;kg;526645;kg;526645
2021;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,187,778;290160;;kg;290160;kg;290160
2021;X;Chile;Netherlands;World;TOTAL CPC;TOTAL MOT;121229;$3,540;1000;;kg;1000;kg;1000
2021;X;Chile;New Zealand;World;TOTAL CPC;TOTAL MOT;121229;$1,660;100;;kg;100;kg;100
2021;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$4,852,142;2547920;;kg;2547920;kg;2547920
2021;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$36,645;7500;;kg;7500;kg;7500
2021;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$2,864,734;1198388;;kg;1198388;kg;1198388
2021;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$108,455;78000;;kg;78000;kg;78000
2021;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$1,652,601;251451;;kg;251451;kg;251451
2022;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$5,699,798;2969000;;kg;2969000;kg;2969000
2022;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$1,425,694;351478;;kg;351478;kg;351478
2022;M;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$2,052;21;;kg;21;kg;21
2022;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$1,417,450;1327902;;kg;1327902;kg;1327902
2022;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$67,352;88000;;kg;88000;kg;88000
2022;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$27,135;7276;;kg;7276;kg;7276
2022;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$237,963;136000;;kg;136000;kg;136000
2022;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$3,640;340;;kg;340;kg;340
2022;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$1,553,304;751057;;kg;751057;kg;751057
2022;M;Chile;Portugal;World;TOTAL CPC;TOTAL MOT;121229;$496;2;;kg;2;kg;2
2022;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$151,764;61506;;kg;61506;kg;61506
2022;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$248,898;117060;;kg;117060;kg;117060
2022;M;Chile;United Rep. of Tanzania;World;TOTAL CPC;TOTAL MOT;121229;$99,053;120000;;kg;120000;kg;120000
2022;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$464,677;8338;;kg;8338;kg;8338
2022;M;Chile;Areas, nes;World;TOTAL CPC;TOTAL MOT;121229;$315;18;;kg;18;kg;18
2022;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$177,249,405;68942303;;kg;68942303;kg;68942303
2022;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$5,022,714;1010374;;kg;1010374;kg;1010374
2022;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$130,841,345;55528875;;kg;55528875;kg;55528875
2022;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$4,617,179;1234153;;kg;1234153;kg;1234153
2022;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$6,742,940;2111612;;kg;2111612;kg;2111612
2022;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$25,362;9000;;kg;9000;kg;9000
2022;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$7,415,964;3211096;;kg;3211096;kg;3211096
2022;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$1,598,174;688559;;kg;688559;kg;688559
2022;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,435,756;290301;;kg;290301;kg;290301
2022;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$8,859,373;2682970;;kg;2682970;kg;2682970
2022;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$145,880;25000;;kg;25000;kg;25000
2022;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$64,216;11535;;kg;11535;kg;11535
2022;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$6,855,064;1778332;;kg;1778332;kg;1778332
2022;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$107,600;52000;;kg;52000;kg;52000
2022;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$3,517,833;308496;;kg;308496;kg;308496
2
